,taxi_id,traj_id,path,length
176,292,203,"[414979750, 12247497, 12247497, 717666829, 717666829, 717666829, 717666829, 717765728, 717765728, 717765727, 717765727, 717765727, 717765727, 713775536, 396976080]",15
177,478,1334,"[101153941, 101153941, 514729106, 514729106, 514412270, 514412270, 739601038, 739601038, 762202750, 762202750]",10
178,60,159,"[468128864, 27239380, 27239380, 30758376, 511075047, 681460997, 681461000, 396972641]",8
179,224,359,"[417400728, 417400728, 850228676, 850228676, 706532925, 706532925, 417400734, 417400734, 706532923, 706532923, 397144265, 397144265, 1111450276]",13
180,317,405,"[28950514, 28950515, 619535708, 619535708]",4
181,419,1907,"[254758115, 254758115, 254758115, 254758115, 254758115, 254758114, 254758114, 254758114, 254758114, 254758114, 254758114, 254758114, 254758114, 254758114, 254758114, 674757878, 674757878, 286003244, 286003244, 286003244]",20
182,256,954,"[398681182, 398681182, 398681182, 398681182, 398681182, 398681182, 398681182, 398681182, 398681182, 964505265, 985061716, 985061716, 985061716, 985061716, 985061716, 985061716]",16
183,16,695,"[329596844, 674757877, 674757877, 674757880, 674757880, 674757880]",6
184,481,461,"[48582272, 514417090, 495831132, 61540061, 123867456, 27614420, 495831134, 538358459, 994904760, 52432934, 52432934, 283529736, 30758418, 27239375, 133755901, 681172051, 1088316571]",17
185,433,1215,"[204965468, 204965468, 204965468, 30832402]",4
186,106,457,"[8918808, 808610093, 254759971, 254759971, 397085190]",5
187,359,162,"[224199016, 224199016, 719449214, 26944132, 414979750, 12247497, 12247497]",7
188,459,92,"[185227697, 185227693, 185227693, 25337673, 26943484, 26943484, 26943484, 26943484, 26943484, 417087474, 417087474, 417087489, 417087489]",13
189,202,1118,"[397146707, 1041351162, 329596844, 329596844, 329596844, 329596844, 329596844, 329596844, 329596844, 674757877, 674757877, 502795940, 502795940, 502795940, 502795940, 502795940]",16
190,221,317,"[254759915, 254759914, 254759914, 254759914, 254396707, 254396707, 585655707, 585655708, 585655708, 585655708, 585655708, 585655708, 585655708, 585655708]",14
191,507,140,"[394114021, 10625515, 394114027, 25007017, 25007018, 25007022, 25007023, 25007026, 25007027]",9
192,420,393,"[1036843940, 375744879, 375744879, 396937568, 396937568, 396937567, 513706522, 107674372, 107674372, 396937570, 396937570, 769990217, 769990216, 769990216, 769990216, 769990216]",16
193,269,49,"[133734413, 8920614, 133734415, 406944782, 406944782, 23876853, 23876853, 23876853, 23876853, 23876853, 444542435, 444542430]",12
194,505,410,"[1030287469, 1030287469, 746808414, 513701212, 513701212, 1024170338]",6
195,212,1116,"[417101714, 417101714]",2
196,324,648,"[1112250559, 1112250558, 989334074, 989334074, 989334074, 989334074, 225847522]",7
197,418,1023,"[8917501, 88572948, 88572948, 88572948, 706532925, 706532925, 8919328, 8919328, 706532924, 736367667, 736367667, 736367665, 736367665, 736367665]",14
198,50,415,"[706543478, 706543478, 406946353, 766116626, 766116626, 133733590, 766116625]",7
199,148,376,"[513963921, 84654228]",2
200,531,1403,"[88572970, 88572970, 680955153, 682814468, 682814468, 417101712, 417101712, 88572877, 88572877, 88572877]",10
201,82,256,"[981636498, 89782522, 89782522, 1024537343, 225806056, 225806056, 777343790, 777343790, 225806055, 934194966, 934194966, 934194966, 283534317]",13
202,176,1577,"[88572943, 88572943, 619568403, 619568403, 530038011, 571428733, 26988051, 26988051]",8
203,247,276,"[417099340, 417099340, 397094227, 397094227, 408572568, 408572568, 91185877, 416878315, 416878315, 30030101, 30030101, 87376669, 87376669]",13
204,293,2325,"[26938418, 26938418, 26938418, 26938418, 26938418, 770522136, 770522136, 254758121, 254758121, 770522074, 770522074, 770522074, 770522074, 770522074, 770522074, 770522074, 770522074, 770522074]",18
205,100,181,"[8916375, 619378866]",2
206,438,1465,"[449197187, 449197187, 449197187, 514681342, 885500679, 87559142, 514674174, 254448242, 254448244]",9
207,277,313,"[715535744, 715535744, 715535744, 417101704, 224199014, 224199014, 417101706]",7
208,78,802,"[254971067, 254971067, 254466695, 254466695, 397146707, 397146707, 397146707, 1041351162]",8
209,105,332,"[417101716, 667569398, 84654238, 84654238, 406581247, 406581247, 968937446, 968937446, 1091967975, 1091967975, 417101716, 667569398, 84654238, 84654238, 406581247, 406581247, 968937446, 968937446, 968937446]",19
210,46,602,"[6324048, 320565457, 184365674, 9570488, 422179015, 1098790905, 415880884, 575483566, 575483564, 201989351, 415880886, 415880883]",12
211,74,330,"[552076778, 1030280649, 1030280650, 1030280650, 552216216, 675499012, 552216218, 516117192, 8920677, 1071630243, 990931439, 406944777, 28950512, 28950513, 619535727, 972701764, 23773149]",17
212,144,300,"[1071850540, 1071850540, 91181764, 84733312, 84733312, 254466689, 399138121]",7
213,429,134,"[254750797, 254750797, 283529756, 283529756, 283529756, 283529756, 283529756, 283529756, 224316515, 224316515, 224316515, 224200962, 1090200058, 777590406, 263108751, 263108751, 263108751, 263108751, 263108751]",19
214,128,121,"[919204679, 682326886, 682326886, 682326886, 513726809, 513726809, 513726809, 133735879, 415491128, 415491128, 415491128, 415491128, 415491128]",13
215,60,739,"[27167768, 617730082]",2
